,t_split,classifierType,Scores
0,0.1,linear svm,0.9555555555555556
1,0.1,poly svm,0.8740740740740741
2,0.1,rbf svm,0.9481481481481482
3,0.1,sigmoid svm,0.48148148148148145
4,0.1,ensemble,0.9481481481481482
5,0.2,linear svm,0.9583333333333334
6,0.2,poly svm,0.875
7,0.2,rbf svm,0.9333333333333333
8,0.2,sigmoid svm,0.575
9,0.2,ensemble,0.9333333333333333
10,0.3,linear svm,0.9809523809523809
11,0.3,poly svm,0.9142857142857143
12,0.3,rbf svm,0.9523809523809523
13,0.3,sigmoid svm,0.5428571428571428
14,0.3,ensemble,0.9523809523809523
15,0.4,linear svm,0.9888888888888889
16,0.4,poly svm,0.9333333333333333
17,0.4,rbf svm,0.9666666666666667
18,0.4,sigmoid svm,0.3888888888888889
19,0.4,ensemble,0.9666666666666667
20,0.5,linear svm,1.0
21,0.5,poly svm,0.9333333333333333
22,0.5,rbf svm,0.96
23,0.5,sigmoid svm,0.37333333333333335
24,0.5,ensemble,0.96
25,0.6,linear svm,1.0
26,0.6,poly svm,0.9333333333333333
27,0.6,rbf svm,0.9666666666666667
28,0.6,sigmoid svm,0.2833333333333333
29,0.6,ensemble,0.9666666666666667
30,0.7,linear svm,1.0
31,0.7,poly svm,0.9555555555555556
32,0.7,rbf svm,1.0
33,0.7,sigmoid svm,0.26666666666666666
34,0.7,ensemble,1.0
35,0.8,linear svm,1.0
36,0.8,poly svm,0.9333333333333333
37,0.8,rbf svm,1.0
38,0.8,sigmoid svm,0.26666666666666666
39,0.8,ensemble,1.0
40,0.9,linear svm,1.0
41,0.9,poly svm,0.8
42,0.9,rbf svm,0.9333333333333333
43,0.9,sigmoid svm,0.26666666666666666
44,0.9,ensemble,0.9333333333333333
